country,profile_id,profile_label_fr,profile_label_en,dimension_region,dimension_family_status,dimension_health_insurance,parameter_version,effective_from,minimum_wage_hourly_eur,monthly_reference_hours,monthly_minimum_wage_eur,smic_multiple,gross_monthly_eur,net_before_income_tax_monthly_eur,employer_cost_monthly_eur,employee_contributions_monthly_eur,employer_contributions_monthly_eur,employee_pension_monthly_eur,employee_unemployment_monthly_eur,employee_health_monthly_eur,employee_care_monthly_eur,employer_pension_monthly_eur,employer_unemployment_monthly_eur,employer_health_monthly_eur,employer_care_monthly_eur,health_care_base_monthly_eur,pension_unemployment_base_monthly_eur,social_wedge_monthly_eur,employee_contribution_rate,employer_contribution_rate,social_wedge_rate,cost_to_net_ratio
Germany,germany__public_health__with_children__outside_saxony,Assurance publique · avec enfant · hors Saxe,Public health insurance · with children · outside Saxony,outside_saxony,with_children,public,2026-01,2026-01-01,13.9,173.3333333333,2409.33333333287,0.8,1927.466666666296,1519.8074666663745,2335.125866666218,407.6591999999216,407.6591999999216,179.25439999996553,25.057066666661846,168.6533333333009,34.69439999999333,179.25439999996553,25.057066666661846,168.6533333333009,34.69439999999333,1927.466666666296,1927.466666666296,815.3183999998435,0.2115,0.2115,0.349153941394965,1.5364616360177554
Germany,germany__public_health__with_children__outside_saxony,Assurance publique · avec enfant · hors Saxe,Public health insurance · with children · outside Saxony,outside_saxony,with_children,public,2026-01,2026-01-01,13.9,173.3333333333,2409.33333333287,0.81,1951.559999999625,1538.8050599997043,2364.3149399995455,412.7549399999207,412.7549399999207,181.49507999996513,25.370279999995123,170.76149999996719,35.12807999999325,181.49507999996513,25.370279999995123,170.76149999996719,35.12807999999325,1951.559999999625,1951.559999999625,825.5098799998411,0.2115,0.2115,0.34915394139496486,1.536461636017755
Germany,germany__public_health__with_children__outside_saxony,Assurance publique · avec enfant · hors Saxe,Public health insurance · with children · outside Saxony,outside_saxony,with_children,public,2026-01,2026-01-01,13.9,173.3333333333,2409.33333333287,0.82,1975.6533333329533,1557.8026533330337,2393.504013332873,417.8506799999196,417.8506799999196,183.73575999996464,25.683493333328393,172.8696666666334,35.56175999999316,183.73575999996464,25.683493333328393,172.8696666666334,35.56175999999316,1975.6533333329533,1975.6533333329533,835.7013599998393,0.2115,0.2115,0.3491539413949649,1.5364616360177552
Germany,germany__public_health__with_children__outside_saxony,Assurance publique · avec enfant · hors Saxe,Public health insurance · with children · outside Saxony,outside_saxony,with_children,public,2026-01,2026-01-01,13.9,173.3333333333,2409.33333333287,0.83,1999.7466666662822,1576.8002466663634,2422.693086666201,422.9464199999187,422.9464199999187,185.97643999996424,25.996706666661666,174.97783333329969,35.995439999993074,185.97643999996424,25.996706666661666,174.97783333329969,35.995439999993074,1999.7466666662822,1999.7466666662822,845.8928399998376,0.21150000000000002,0.21150000000000002,0.34915394139496503,1.5364616360177554
Germany,germany__public_health__with_children__outside_saxony,Assurance publique · avec enfant · hors Saxe,Public health insurance · with children · outside Saxony,outside_saxony,with_children,public,2026-01,2026-01-01,13.9,173.3333333333,2409.33333333287,0.84,2023.8399999996109,1595.7978399996932,2451.8821599995285,428.04215999991766,428.04215999991766,188.2171199999638,26.30991999999494,177.08599999996594,36.42911999999299,188.2171199999638,26.30991999999494,177.08599999996594,36.42911999999299,2023.8399999996109,2023.8399999996109,856.0843199998353,0.21149999999999997,0.21149999999999997,0.3491539413949649,1.5364616360177552
Germany,germany__public_health__with_children__outside_saxony,Assurance publique · avec enfant · hors Saxe,Public health insurance · with children · outside Saxony,outside_saxony,with_children,public,2026-01,2026-01-01,13.9,173.3333333333,2409.33333333287,0.85,2047.9333333329396,1614.7954333330229,2481.071233332856,433.13789999991667,433.13789999991667,190.45779999996338,26.623133333328212,179.1941666666322,36.86279999999291,190.45779999996338,26.623133333328212,179.1941666666322,36.86279999999291,2047.9333333329396,2047.9333333329396,866.2757999998332,0.21149999999999997,0.21149999999999997,0.34915394139496486,1.5364616360177552
Germany,germany__public_health__with_children__outside_saxony,Assurance publique · avec enfant · hors Saxe,Public health insurance · with children · outside Saxony,outside_saxony,with_children,public,2026-01,2026-01-01,13.9,173.3333333333,2409.33333333287,0.86,2072.0266666662683,1633.7930266663525,2510.260306666184,438.2336399999157,438.2336399999157,192.69847999996296,26.936346666661485,181.30233333329846,37.296479999992826,192.69847999996296,26.936346666661485,181.30233333329846,37.296479999992826,2072.0266666662683,2072.0266666662683,876.4672799998316,0.21149999999999997,0.21149999999999997,0.349153941394965,1.5364616360177552
Germany,germany__public_health__with_children__outside_saxony,Assurance publique · avec enfant · hors Saxe,Public health insurance · with children · outside Saxony,outside_saxony,with_children,public,2026-01,2026-01-01,13.9,173.3333333333,2409.33333333287,0.87,2096.119999999597,1652.7906199996823,2539.4493799995116,443.32937999991475,443.32937999991475,194.93915999996253,27.24955999999476,183.4104999999647,37.73015999999274,194.93915999996253,27.24955999999476,183.4104999999647,37.73015999999274,2096.119999999597,2096.119999999597,886.6587599998293,0.2115,0.2115,0.34915394139496486,1.536461636017755
Germany,germany__public_health__with_children__outside_saxony,Assurance publique · avec enfant · hors Saxe,Public health insurance · with children · outside Saxony,outside_saxony,with_children,public,2026-01,2026-01-01,13.9,173.3333333333,2409.33333333287,0.88,2120.2133333329257,1671.7882133330118,2568.6384533328396,448.4251199999138,448.4251199999138,197.1798399999621,27.562773333328032,185.518666666631,38.16383999999266,197.1798399999621,27.562773333328032,185.518666666631,38.16383999999266,2120.2133333329257,2120.2133333329257,896.8502399998279,0.21150000000000002,0.21150000000000002,0.34915394139496503,1.5364616360177554
Germany,germany__public_health__with_children__outside_saxony,Assurance publique · avec enfant · hors Saxe,Public health insurance · with children · outside Saxony,outside_saxony,with_children,public,2026-01,2026-01-01,13.9,173.3333333333,2409.33333333287,0.89,2144.3066666662544,1690.7858066663416,2597.827526666167,453.52085999991283,453.52085999991283,199.42051999996167,27.875986666661305,187.62683333329724,38.59751999999258,199.42051999996167,27.875986666661305,187.62683333329724,38.59751999999258,2144.3066666662544,2144.3066666662544,907.0417199998255,0.21150000000000002,0.21150000000000002,0.3491539413949649,1.5364616360177552
