source,engine,profile_id,profile_label_fr,profile_label_en,dimension_status,dimension_territory,dimension_atmp,rgdu_expression_used,smic_multiple,gross_monthly_eur,net_monthly_eur,employer_cost_monthly_eur,employee_contributions_monthly_eur,employer_contributions_monthly_eur,social_wedge_monthly_eur,employee_contribution_rate,employer_contribution_rate,social_wedge_rate,cost_to_net_ratio,rgdu_monthly_eur,rgdu_rate_gross,rgdu_rate_employer_cost,employee_csg_crds_monthly_eur,employee_old_age_monthly_eur,employee_retirement_complementary_ceg_cet_monthly_eur,employee_other_monthly_eur,employer_old_age_monthly_eur,employer_retirement_complementary_ceg_cet_monthly_eur,employer_health_monthly_eur,employer_family_monthly_eur,employer_unemployment_monthly_eur,employer_ags_monthly_eur,employer_atmp_monthly_eur,employer_fnal_monthly_eur,employer_csa_monthly_eur,employer_training_monthly_eur,employer_apprenticeship_tax_monthly_eur,employer_social_dialogue_monthly_eur,employer_other_monthly_eur,employer_contributions_before_relief_monthly_eur,api_total_contributions_monthly_eur,api_employer_contributions_monthly_eur,api_employee_contributions_monthly_eur,missing_variables_gross,missing_variables_net,missing_variables_employer_cost,status,error,flcl_e,flcl_b,employer_cost_without_rgdu_monthly_eur,flcl_e_without_rgdu,flcl_r
mon-entreprise,api/v1/evaluate,cadre__alsace_moselle__atmp_1,Cadre · Alsace-Moselle · AT/MP 1 %,Executive · Alsace-Moselle · AT/MP 1%,cadre,alsace_moselle,atmp_1,salarié . cotisations . exonérations . RGDU,0.8,1493.62,1138.46,1562.94,355.16,69.32,424.48,0.2378,0.0464,0.2716,1.3729,594.61,0.3981,0.3804,146.46,109.03,59.89,39.78,159.22,89.77,194.17,78.42,63.48,3.73,14.94,1.49,4.48,8.21,6.57,0.24,39.21,663.93,424.48,69.32,355.16,8,26,35,ok,,72.84092799467669,27.15907200532331,2157.55,52.76633218233644,20.07459581234025
mon-entreprise,api/v1/evaluate,cadre__alsace_moselle__atmp_1,Cadre · Alsace-Moselle · AT/MP 1 %,Executive · Alsace-Moselle · AT/MP 1%,cadre,alsace_moselle,atmp_1,salarié . cotisations . exonérations . RGDU,0.81,1512.29,1152.96,1582.23,359.33,69.94,429.26,0.2376,0.0462,0.2713,1.3723,602.04,0.3981,0.3805,148.27,110.4,60.64,40.02,161.21,90.89,196.6,79.4,64.27,3.78,15.12,1.51,4.54,8.32,6.65,0.24,39.45,671.98,429.26,69.94,359.33,8,26,35,ok,,72.86930471549648,27.130695284503517,2184.27,52.784683212240246,20.084621503256237
mon-entreprise,api/v1/evaluate,cadre__alsace_moselle__atmp_1,Cadre · Alsace-Moselle · AT/MP 1 %,Executive · Alsace-Moselle · AT/MP 1%,cadre,alsace_moselle,atmp_1,salarié . cotisations . exonérations . RGDU,0.82,1530.96,1167.47,1601.51,363.49,70.55,434.05,0.2374,0.0461,0.271,1.3718,609.48,0.3981,0.3806,150.07,111.76,61.39,40.27,163.2,92.01,199.02,80.38,65.07,3.83,15.31,1.53,4.59,8.42,6.74,0.24,39.69,680.03,434.05,70.55,363.49,8,26,35,ok,,72.89807743941655,27.101922560583446,2210.99,52.803042980746184,20.09503445867037
mon-entreprise,api/v1/evaluate,cadre__alsace_moselle__atmp_1,Cadre · Alsace-Moselle · AT/MP 1 %,Executive · Alsace-Moselle · AT/MP 1%,cadre,alsace_moselle,atmp_1,salarié . cotisations . exonérations . RGDU,0.83,1549.63,1181.97,1620.8,367.66,71.17,438.83,0.2373,0.0459,0.2707,1.3713,616.91,0.3981,0.3806,151.88,113.12,62.14,40.52,165.19,93.13,201.45,81.36,65.86,3.87,15.5,1.55,4.65,8.52,6.82,0.25,39.93,688.08,438.83,71.17,367.66,8,26,35,ok,,72.92509871668312,27.074901283316876,2237.71,52.82051740395315,20.104581312729977
mon-entreprise,api/v1/evaluate,cadre__alsace_moselle__atmp_1,Cadre · Alsace-Moselle · AT/MP 1 %,Executive · Alsace-Moselle · AT/MP 1%,cadre,alsace_moselle,atmp_1,salarié . cotisations . exonérations . RGDU,0.84,1568.3,1196.48,1640.09,371.82,71.79,443.61,0.2371,0.0458,0.2705,1.3708,624.34,0.3981,0.3807,153.68,114.49,62.89,40.76,167.18,94.25,203.88,82.34,66.65,3.92,15.68,1.57,4.7,8.63,6.9,0.25,40.17,696.13,443.61,71.79,371.82,8,26,35,ok,,72.95209409239737,27.047905907602626,2264.43,52.838021047239266,20.114073045158108
mon-entreprise,api/v1/evaluate,cadre__alsace_moselle__atmp_1,Cadre · Alsace-Moselle · AT/MP 1 %,Executive · Alsace-Moselle · AT/MP 1%,cadre,alsace_moselle,atmp_1,salarié . cotisations . exonérations . RGDU,0.85,1586.97,1210.98,1659.37,375.99,72.4,448.39,0.2369,0.0456,0.2702,1.3703,631.77,0.3981,0.3807,155.49,115.85,63.64,41.01,169.17,95.38,206.31,83.32,67.45,3.97,15.87,1.59,4.76,8.73,6.98,0.25,40.41,704.17,448.39,72.4,375.99,8,26,35,ok,,72.97829899299133,27.021701007008673,2291.14,52.85491065583072,20.123388337160605
mon-entreprise,api/v1/evaluate,cadre__alsace_moselle__atmp_1,Cadre · Alsace-Moselle · AT/MP 1 %,Executive · Alsace-Moselle · AT/MP 1%,cadre,alsace_moselle,atmp_1,salarié . cotisations . exonérations . RGDU,0.86,1605.64,1225.49,1678.66,380.15,73.02,453.17,0.2368,0.0455,0.27,1.3698,639.21,0.3981,0.3808,157.3,117.21,64.39,41.26,171.16,96.5,208.73,84.3,68.24,4.01,16.06,1.61,4.82,8.83,7.06,0.26,40.65,712.22,453.17,73.02,380.15,8,26,35,ok,,73.00406276434775,26.99593723565225,2317.87,52.87138622959873,20.132676534749024
mon-entreprise,api/v1/evaluate,cadre__alsace_moselle__atmp_1,Cadre · Alsace-Moselle · AT/MP 1 %,Executive · Alsace-Moselle · AT/MP 1%,cadre,alsace_moselle,atmp_1,salarié . cotisations . exonérations . RGDU,0.87,1624.31,1239.99,1697.94,384.32,73.63,457.95,0.2366,0.0453,0.2697,1.3693,646.64,0.3981,0.3808,159.1,118.57,65.13,41.51,173.15,97.62,211.16,85.28,69.03,4.06,16.24,1.62,4.87,8.93,7.15,0.26,40.89,720.27,457.95,73.63,384.32,8,26,35,ok,,73.0290822997279,26.970917700272096,2344.58,52.88751076951949,20.141571530208417
mon-entreprise,api/v1/evaluate,cadre__alsace_moselle__atmp_1,Cadre · Alsace-Moselle · AT/MP 1 %,Executive · Alsace-Moselle · AT/MP 1%,cadre,alsace_moselle,atmp_1,salarié . cotisations . exonérations . RGDU,0.88,1642.98,1254.5,1717.23,388.48,74.25,462.74,0.2365,0.0452,0.2695,1.3689,654.07,0.3981,0.3809,160.91,119.94,65.88,41.75,175.14,98.74,213.59,86.26,69.83,4.11,16.43,1.64,4.93,9.04,7.23,0.26,41.13,728.32,462.74,74.25,388.48,8,26,35,ok,,73.05369694216849,26.946303057831514,2371.3,52.90347067009657,20.15022627207192
mon-entreprise,api/v1/evaluate,cadre__alsace_moselle__atmp_1,Cadre · Alsace-Moselle · AT/MP 1 %,Executive · Alsace-Moselle · AT/MP 1%,cadre,alsace_moselle,atmp_1,salarié . cotisations . exonérations . RGDU,0.89,1661.65,1269.0,1736.52,392.65,74.87,467.52,0.2363,0.0451,0.2692,1.3684,661.5,0.3981,0.3809,162.72,121.3,66.63,42.0,177.13,99.87,216.01,87.24,70.62,4.15,16.62,1.66,4.98,9.14,7.31,0.27,41.37,736.37,467.52,74.87,392.65,8,26,35,ok,,73.07718886047958,26.92281113952042,2398.02,52.91865789276153,20.15853096771805
